Raw Name,Clean Name,alt name,Flip Vertical,Rotation Applied,Z reverse,Flipped in Preprocessing,Notes,Egocentric Leaning,Skip Affine,Refinement Inclusion,Correction Angle,MB Tilt Angle,Δ from 90,Mirrored?,Mirror Value,Experiment,Condition,AMIRA volume,neuropil segmenter / notes,L MB,R MB,L AL,R AL,L OL,R OL,CBupper,CBlower,PB,L NO,R NO,CB,CX,body length,head area
LL_201213_2-6_brain3_synorf.tif,synA647_LL_201213_263.nrrd,,0,0,0,1,na,left,0,1,-2.27,117.65,27.65,1,-27.65,refbrain,included,3496739,"segmentation done on brain before flipping, swapped labels; CX hard to segment especially NO",416900,374578,208391,196401,5481,6119,12624,6472,4927,245,291,19096,24559,,
LL_201213_2-4_brain1_synorf.tiff,synA647_LL_2-41.nrrd,,0,-8.7,0,1,na,left,0,1,-1.18,122.7,32.7,1,-32.7,refbrain,included,4233538,,,,,,,,,,,,,,,,
LL_201213_2-5_brain1_synorf.tiff,synA647_LL_2-51.nrrd,,0,-4.8,0,1,na,right,0,1,-1.43,125.75,35.75,0,35.75,refbrain,included,5656796,,,,,,,,,,,,,,,,
220214_synA647_brain4.tiff,synA647_LL_4_220214.nrrd,,0,0,1,1,low intensity,left,0,1,-0.85,113.45,23.45,1,-23.45,refbrain,included,8658281,,773094,981236,565977,543177,19130,17381,36535,13135,12893,923,1115,26028,64601,,
220216_ant_40x_A647syn_brain6.tif,synA647_LL_6_220216.nrrd,,0,-64.8,1,1,low intensity,left,0,1,0.66,113.48,23.48,1,-23.48,refbrain,included,4198189,,,,,,,,,,,,,,,,
LL_200916_B19_Airyscan Processing_Stitch.czi,synA647_LL_B19_200916.nrrd,,0,28.1,0,1,na,left,0,1,2.14,116.16,26.16,1,-26.16,refbrain,included,4808606,,,,,,,,,,,,,,,,
LL_200917_B22_Airyscan Processing_Stitch.czi,synA647_LL_B22_200917.nrrd,,0,-90,0,1,na,right,0,1,0.75,113.84,23.84,0,23.84,refbrain,included,4466042,,,,,,,,,,,,,,,,
LL_200917_B26_Airyscan Processing_Stitch.czi,synA647_LL_B26_200917.nrrd,,0,49.4,0,1,na,right,0,1,0.98,122.86,32.86,0,32.86,refbrain,included,3954047,LL,431815,446382,184765,188137,6639,7099,20080,5860,8297,759,838,25940,35834,,
LL_200917_B34_Airyscan Processing_Stitch.czi,synA647_LL_B34_200917.nrrd,,0,-51.3,0,1,na,right,0,1,-4.08,125.7,35.7,0,35.7,refbrain,included,5544480,,,,,,,,,,,,,,,,
200727_L12_synA647_Airyscan Processing_Stitch.czi,synA647_LL_L12_200727.nrrd,,1,61,0,1,na,left,0,1,-0.25,112.86,22.86,1,-22.86,refbrain,included,6967403,,,,,,,,,,,,,,,,
200724_L3_synA647_Airyscan Processing_Stitch.czi,synA647_LL_L3_200724.nrrd,,0,-81.3,0,1,na,right,0,1,-2.71,119.74,29.74,0,29.74,refbrain,included,5540693,,,,,,,,,,,,,,,,
200724_L4_synA647_Airyscan Processing_Stitch.czi,synA647_LL_L4_200724.nrrd,LL_A4,1,70.6,0,1,na + sym in past,right,0,1,-1.31,91.68,1.68,0,1.68,refbrain,included,6403398,"segmentation done on brain before flipping, swapped labels",733417,808843,361134,430129,9255,12504,40419,12392,11868,1424,1353,52811,67456,,
200724_L8_synA647_Airyscan Processing_Stitch.czi,synA647_LL_L8_200724.nrrd,,0,-70.6,0,1,na + sym in past,left,0,1,-1.88,97.13,7.13,1,-7.13,refbrain,included,7214997,,826182,767056,,,,,,,,,,,,,
DFA07_Airyscan Processing_Stitch.czi,synA647_DF_A07.nrrd,,0,8.7,0,0,EXCLUDED,left,0,1,,,,,,refbrain,excluded,3628962,LL,509898,474211,185914,177804,,,20688,7100,6798,,,,,,
DFA10_Airyscan Processing_Stitch.czi,synA647_DF_A10.nrrd,,0,-4.3,0,0,EXCLUDED,right,0,1,,,,,,refbrain,excluded,4443472,LL,549734,547010,216325,216533,,,20382,7848,6522,,,,,,
DFB02_A_Airyscan Processing_Stitch.czi,synA647_DF_B02.nrrd,,0,10.6,0,0,EXCLUDED,right,0,1,,,,,,refbrain,excluded,,,,,,,,,,,,,,,,,
